Program,University,Subject,Level,Type of Degree,EU Fees,Country,City
International Business,Avans University of Applied Sciences,"Business , Management",Undergraduate,BBA,"EUR 2,143",Netherlands,Breda
International Business,"Avans University of Applied Sciences, den Bosch",Business,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Den Bosch
International Business,Fontys University of Applied Sciences - Eindhoven,Business,Undergraduate,BBA,"EUR 2,143",Netherlands,Eindhoven
International Business,Fontys University of Applied Sciences - Venlo,Business,Undergraduate,BBA,"EUR 2,143",Netherlands,Venlo
International Business,HAN University of Applied Sciences - Arnhem,"Business , Management",Undergraduate,BBA,"EUR 2,143",Netherlands,Arnhem
International Business,HU University of Applied Sciences Utrecht,Business,Undergraduate,BBA,"EUR 2,143",Netherlands,Utrecht
International Business,HZ University of Applied Science,"Business , Management",Undergraduate,BBA,"EUR 2,143",Netherlands,Vlissingen
International Business,Maastricht University,Business,Undergraduate,BSc,"EUR 2,143",Netherlands,Maastricht
International Business,NHL Stenden University of Applied Sciences - Emmen,"Business , Languages",Undergraduate,Bachelor of Business Administration (BBA),"EUR 2,143",Netherlands,Emmen
International Business,NHL Stenden University of Applied Sciences - Leeuwarden,"Business , Management",Undergraduate,Bachelor of Business Administration (BBA),"EUR 2,143",Netherlands,Leeuwarden
International Business,"Rotterdam Business School, University of Applied Sciences",Business,Undergraduate,BBA,"EUR 2,143",Netherlands,Rotterdam
International Business,"Rotterdam School of Management, Erasmus University (RSM)","Business , Management",Undergraduate,BSc,"EUR 2,143",Netherlands,Rotterdam
International Business,Saxion University of Applied Sciences - Deventer,Business,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Deventer
International Business,Saxion University of Applied Sciences - Enschede,Business,Undergraduate,BBA,"EUR 2,143",Netherlands,Enschede
International Business,The Hague University of Applied Sciences,Business,Undergraduate,BBA,"EUR 2,143",Netherlands,The Hague (Den Haag)
International Business,University of Groningen,"Business , Management",Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
International Business,Windesheim University of Applied Sciences,Business,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Zwolle
International Business,Zuyd University of Applied Sciences,Business,Undergraduate,BSc,"EUR 2,143",Netherlands,Maastricht
International Business (3 years),Hanze University of Applied Sciences,"Business , Management",Undergraduate,BBA,"EUR 2,143",Netherlands,Groningen
International Business (4 years),Amsterdam University of Applied Sciences,"Business , Management",Undergraduate,BBA,"EUR 2,143",Netherlands,Amsterdam
International Business (4 years),Hanze University of Applied Sciences,"Business , Management",Undergraduate,BBA,"EUR 2,143",Netherlands,Groningen
International Business (Fast Track),HZ University of Applied Science,"Business , Management",Undergraduate,BBA,"EUR 2,143",Netherlands,Vlissingen
International Business (Fast Track),The Hague University of Applied Sciences,"Business , Management",Undergraduate,BBA,"EUR 2,143",Netherlands,The Hague (Den Haag)
International Business (Fast Track),Zuyd University of Applied Sciences,Business,Undergraduate,BA,"EUR 2,143",Netherlands,Maastricht
"International Business (fast-track, 3 years)",Amsterdam University of Applied Sciences,"Business , Management",Undergraduate,BBA (3 years),"EUR 2,143",Netherlands,Amsterdam
International Business - Business Management,"Van Hall Larenstein, Leeuwarden",Business,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Leeuwarden
International Business - International Trade,"Van Hall Larenstein, Leeuwarden",Business,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Leeuwarden
International Business Administration,Erasmus University Rotterdam,Business,Undergraduate,BSc,"EUR 2,143",Netherlands,Rotterdam
International Business Administration,Tilburg University,Business,Undergraduate,BSc,"EUR 2,143",Netherlands,Tilburg
International Business Administration,University of Twente,Business,Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
International Business Administration,VU University Amsterdam,Business,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
International Business and Languages,"Rotterdam Business School, University of Applied Sciences","Business , Languages",Undergraduate,BBA,"EUR 2,143",Netherlands,Rotterdam
International Business and Management,"Rotterdam Business School, University of Applied Sciences",Business,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Rotterdam
International Business and Supply Chain Management,"Rotterdam Business School, University of Applied Sciences","Business , Logistics",Undergraduate,BBA,"EUR 2,143",Netherlands,Rotterdam
International Business Communication,Radboud University,"Business , Communication",Undergraduate,BA,"EUR 2,143",Netherlands,Nijmegen
International Business for Asia,"Rotterdam Business School, University of Applied Sciences",Business,Undergraduate,BBA,"EUR 2,143",Netherlands,Rotterdam
International Business Management (3 years),TIO - Amsterdam,"Business , Management",Undergraduate,BBA,"€18,500",Netherlands,Amsterdam
International Business Management (3 years),TIO - Utrecht,"Business , Management",Undergraduate,BBA,"€18,500",Netherlands,Utrecht
International Business Management (4 years),TIO - Amsterdam,"Business , Management",Undergraduate,BBA,"€18,500",Netherlands,Amsterdam
International Communication,Hanze University of Applied Sciences,"Communication, Media",Undergraduate,BA,"EUR 2,143",Netherlands,Groningen
International Communications Management,The Hague University of Applied Sciences,Media,Undergraduate,BA,"EUR 2,143",Netherlands,The Hague (Den Haag)
International Development Management - Disaster Risk Management,Van Hall Larenstein - Velp,"International Development, Environment",Undergraduate,Bachelor,"EUR 2,143",Netherlands,Velp
International Development Management - Rural Development and Innovation,Van Hall Larenstein - Velp,"International Development, Regional Development",Undergraduate,Bachelor,"EUR 2,143",Netherlands,Velp
International Development Management - Sustainable Value Chains,Van Hall Larenstein - Velp,"International Development, Economics",Undergraduate,Bachelor,"EUR 2,143",Netherlands,Velp
International Facility Management,Hanze University of Applied Sciences,"Logistics, Management",Undergraduate,BBA,"EUR 2,143",Netherlands,Groningen
International Facility Management (4 years),Breda University of Applied Sciences,"Business , Management",Undergraduate,BBA,"EUR 2,143",Netherlands,Breda
"International Facility Management (Fast track, 3 years)",Breda University of Applied Sciences,Management,Undergraduate,BBA,"EUR 2,143",Netherlands,Breda
International Finance and Accounting,Saxion University of Applied Sciences - Enschede,Business,Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
International Finance and Control,Hanze University of Applied Sciences,Finance,Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
International Financial Management,Avans University of Applied Sciences,"Finance, Management",Undergraduate,BBA (Bachelor of Business Administration),"EUR 2,143",Netherlands,Breda
International Financial Management and Control,The Hague University of Applied Sciences,Business,Undergraduate,BSc,"EUR 2,143",Netherlands,The Hague (Den Haag)
International Financial Management and Control (Fast Track),The Hague University of Applied Sciences,Finance,Undergraduate,BBA,"EUR 2,143",Netherlands,The Hague (Den Haag)
International Food & Agribusiness,HAS University of Applied Sciences - Den Bosch,"Business , Food",Undergraduate,BBA,"EUR 2,143",Netherlands,Den Bosch
International Food Business,Aeres University of Applied Sciences,"Business , Food",Undergraduate,BBA,"EUR 2,143",Netherlands,Dronten
International Hospitality Management,NHL Stenden University of Applied Sciences - Leeuwarden,Hospitality,Undergraduate,Bachelor of Business Administration (BBA),"EUR 2,143",Netherlands,Leeuwarden
International Hospitality Management (Double degree with University of Brighton),Wittenborg University of Applied Sciences,"Hospitality, Tourism",Undergraduate,BA,"EUR 7,500",Netherlands,Apeldoorn
International Hospitality Management (Fast Track),NHL Stenden University of Applied Sciences - Leeuwarden,"Hospitality, Tourism",Undergraduate,Bachelor of Business Administration (BBA),"EUR 2,143",Netherlands,Leeuwarden
International Human Resource Management,Saxion University of Applied Sciences - Enschede,Business,Undergraduate,BA,"EUR 2,143",Netherlands,Enschede
International Lifestyle Studies,Fontys University of Applied Sciences - Tilburg,Fashion,Undergraduate,BA,"EUR 2,143",Netherlands,Tilburg
International Logistics Management,NHL Stenden University of Applied Sciences - Emmen,"Business , Logistics",Undergraduate,Bachelor of Business Administration (BBA),"EUR 2,143",Netherlands,Emmen
International Public Management,The Hague University of Applied Sciences,Social Sciences,Undergraduate,BBA,"EUR 2,143",Netherlands,The Hague (Den Haag)
International Relations and International Organisation (BA),University of Groningen,"International Relations, Social Sciences",Undergraduate,BA,"EUR 2,143",Netherlands,Groningen
International Relations and Organisations,Leiden University,International Relations,Undergraduate,BA,"EUR 2,143",Netherlands,Leiden
International Sociology,Tilburg University,"Sociology, Social Sciences",Undergraduate,BA,"EUR 2,143",Netherlands,Tilburg
International Spatial Development,Breda University of Applied Sciences,"Design, Environment",Undergraduate,BSc,"EUR 2,143",Netherlands,Breda
International Studies,Leiden University - The Hague,Humanities,Undergraduate,BA,"EUR 2,143",Netherlands,The Hague (Den Haag)
International Teacher Education for primary schools (ITEps),NHL Stenden University of Applied Sciences - Meppel,Teaching,Undergraduate,Bachelor of Education (BEd),"EUR 2,143",Netherlands,Meppel
International Teacher Education for Secondary Schools,NHL Stenden University of Applied Sciences - Groningen,Education,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Groningen
International Tourism Management (3 years),TIO - Utrecht,Tourism,Undergraduate,BBA,"€18,500",Netherlands,Utrecht
International Tourism Management (4 years),TIO - Amsterdam,"Tourism, Management",Undergraduate,BBA,"€18,500",Netherlands,Amsterdam
International Tourism Management (4 years),TIO - Utrecht,"Hospitality, Tourism",Undergraduate,BBA,"€18,500",Netherlands,Utrecht
International Tourism Management (Fast track),TIO - Amsterdam,Tourism,Undergraduate,BBA,"€18,500",Netherlands,Amsterdam
International Water and Land Management,Wageningen University,Environment,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Wageningen
Jazz & Pop,ArtEZ University of the Arts - Arnhem,Music,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Arnhem
Jazz & Pop,HKU University of the Arts Utrecht,"Music, Performing Arts",Undergraduate,Bachelor of Music,"EUR 2,143",Netherlands,Utrecht
Jewellery,Gerrit Rietveld Academy,Design,Undergraduate,BA,"€2,580",Netherlands,Amsterdam
Law in Society,VU University Amsterdam,Law,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
Leisure and Events Management,NHL Stenden University of Applied Sciences - Leeuwarden,"Hospitality, Leisure",Undergraduate,Bachelor of Business Administration (BBA),"EUR 2,143",Netherlands,Leeuwarden
Leisure and Events Management (4 years),Breda University of Applied Sciences,"Leisure, Hospitality",Undergraduate,BA,"EUR 2,143",Netherlands,Breda
"Leisure and Events Management (Fast track, 3 years)",Breda University of Applied Sciences,"Leisure, Management",Undergraduate,BA,"EUR 2,143",Netherlands,Breda
Leisure Studies,Breda University of Applied Sciences,"Hospitality, Tourism",Undergraduate,BSc,"EUR 2,143",Netherlands,Breda
Liberal Arts,University College Roosevelt,"Liberal Arts, Arts",Undergraduate,BA/BSc,"€3,358",Netherlands,Middleburg
Liberal Arts & Sciences: Global Challenges,Leiden University College,"Liberal Arts, International Relations",Undergraduate,BA/BSc,"EUR 2,143",Netherlands,The Hague (Den Haag)
"Liberal Arts - Food, Nutrition and Health",University College Venlo,"Food, Nutrition",Undergraduate,BA/BSc,"EUR 2,143",Netherlands,Venlo
Liberal Arts and Sciences,Amsterdam University College,"Liberal Arts, Science",Undergraduate,Bachelor (Honours),"€4,387",Netherlands,Amsterdam
Liberal Arts and Sciences,Erasmus University College Rotterdam,"Arts, Social Sciences",Undergraduate,BA/BSc,"€4,200",Netherlands,Rotterdam
Liberal Arts and Sciences,Maastricht University,Liberal Arts,Undergraduate,BA/BSc,"€3,445",Netherlands,Maastricht
Liberal Arts and Sciences,University College Groningen,"Liberal Arts, Science",Undergraduate,BA / BSc,"€4,130",Netherlands,Groningen
Liberal Arts and Sciences,University College Tilburg,"Liberal Arts, Science",Undergraduate,BA/BSc,"EUR 2,143",Netherlands,Tilburg
Liberal Arts and Sciences,University College Utrecht,"Arts, Liberal Arts",Undergraduate,BA/BSc,"€4,250",Netherlands,Utrecht
Life Science and Technology,University of Groningen,"Science, Technology",Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Life Sciences,HAN University of Applied Sciences - Nijmegen,"Biology, Science",Undergraduate,Bachelor,"EUR 2,143",Netherlands,Nijmegen
Lifestyle Transformation Design,Willem de Kooning Academie,"Design, Design",Undergraduate,BA,"EUR 2,143",Netherlands,Rotterdam
Linguistics,Leiden University,Languages,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Leiden
Linguistics,University of Amsterdam,"Languages, Linguistics",Undergraduate,BA,"EUR 2,143",Netherlands,Amsterdam
Literary and Cultural Analysis (Literary Studies),University of Amsterdam,"Literature, Culture",Undergraduate,BA,"EUR 2,143",Netherlands,Amsterdam
Literary Studies,University of Utrecht,Literature,Undergraduate,BA,"€ 2,060",Netherlands,Utrecht
Literature and Society,VU University Amsterdam,"Literature, Social Sciences",Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
Logistics and International Trade,Wittenborg University of Applied Sciences,"Business , Logistics",Undergraduate,BBA,"EUR 7,500",Netherlands,Apeldoorn
Logistics Engineering,Fontys University of Applied Sciences - Venlo,"Logistics, Engineering",Undergraduate,BSc,"EUR 2,143",Netherlands,Venlo
Logistics Engineering,HZ University of Applied Science,"Logistics, Business",Undergraduate,BSc,"EUR 2,143",Netherlands,Vlissingen
Logistics Engineering (4 years),Breda University of Applied Sciences,"Logistics, Engineering",Undergraduate,BSc,"EUR 2,143",Netherlands,Breda
"Logistics Engineering (fast track, 3 years)",Breda University of Applied Sciences,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Breda
Logistics Management,Fontys University of Applied Sciences - Venlo,"Logistics, Engineering",Undergraduate,BSc,"EUR 2,143",Netherlands,Venlo
Logistics Management (4 years),Breda University of Applied Sciences,"Logistics, Economics",Undergraduate,BSc,"EUR 2,143",Netherlands,Breda
"Logistics Management (Fast track, 3 years)",Breda University of Applied Sciences,"Logistics, Economics",Undergraduate,BSc,"EUR 2,143",Netherlands,Breda
Logistics Management - International Fresh Business Management,Fontys University of Applied Sciences - Venlo,"Agriculture, Business",Undergraduate,BBA,"EUR 2,143",Netherlands,Venlo
Maastricht Science Programme,Maastricht University,Science,Undergraduate,BSc,"EUR 2,143",Netherlands,Maastricht
Management of International Social Challenges,Erasmus University Rotterdam,Social Sciences,Undergraduate,BSc,"EUR 2,143",Netherlands,Rotterdam
"Management, Society and Technology",University of Twente,"Management, Social Sciences",Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
Marketing and Communication,Wittenborg University of Applied Sciences,Business,Undergraduate,BBA,"EUR 7,500",Netherlands,Apeldoorn
Marketing Management,Hanze University of Applied Sciences,"Marketing, Business",Undergraduate,BBA,"EUR 2,143",Netherlands,Groningen
Marketing Management,NHL Stenden University of Applied Sciences - Emmen,"Marketing, Business",Undergraduate,Bachelor of Business Administration (BBA),"EUR 2,143",Netherlands,Emmen
Marketing Management - Digital Business Concepts,Fontys University of Applied Sciences - Tilburg,Business,Undergraduate,BBA,"EUR 2,143",Netherlands,Tilburg
Marketing Management - International Marketing,Fontys University of Applied Sciences - Venlo,Business,Undergraduate,BBA,"EUR 2,143",Netherlands,Venlo
Mathematical Engineering,Inholland University of Applied Sciences - Amsterdam,"IT, Mathematics",Undergraduate,BEng,"EUR 2,143",Netherlands,Amsterdam
Mathematics,Inholland University of Applied Sciences - Amsterdam,"IT, Mathematics",Undergraduate,BEng,"EUR 2,143",Netherlands,Amsterdam
Mathematics (BSc),University of Groningen,"Mathematics, Science",Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Mechanical Engineering,Fontys University of Applied Sciences - Eindhoven,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
Mechanical Engineering,HAN University of Applied Sciences - Arnhem,Engineering,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Arnhem
Mechanical Engineering,Hanze University of Applied Sciences,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Mechanical Engineering,University of Twente,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
Mechanical Engineering,VU University Amsterdam,Engineering,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
Mechatronics,Fontys University of Applied Sciences - Eindhoven,Engineering,Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
Media and Culture,University of Amsterdam,"Media, Culture",Undergraduate,BA,"EUR 2,143",Netherlands,Amsterdam
Media and Culture,University of Utrecht,Media,Undergraduate,BA,"€ 2,060",Netherlands,Utrecht
Media and Information,University of Amsterdam,Media,Undergraduate,BA,"EUR 2,143",Netherlands,Amsterdam
Media Studies,University of Groningen,"Media, Culture",Undergraduate,BA,"EUR 2,143",Netherlands,Groningen
Medicine,Maastricht University,Medicine,Undergraduate,BSc,"EUR 2,143",Netherlands,Maastricht
"Medicine, Global Health Profile",University of Groningen,"Medical Science, Health",Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
"Medicine, Profile Molecular Medicine",University of Groningen,"Medicine, Medical Science",Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Minorities & Multilingualism,University of Groningen,"Linguistics, Culture",Undergraduate,BA,"EUR 2,143",Netherlands,Groningen
Modern Theatre Dance,Amsterdam University of the Arts,Performing Arts,Undergraduate,Bachelor of Arts,"EUR 2,143",Netherlands,Amsterdam
Molecular Life Sciences,Amsterdam University of the Arts,Performing Arts,Undergraduate,Bachelor of Arts,"EUR 2,143",Netherlands,Amsterdam
Moving Image,ArtEZ University of the Arts - Enschede,Arts,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Enschede
Moving Image,Gerrit Rietveld Academy,"Design, Culture",Undergraduate,BA,"€2,580",Netherlands,Amsterdam
Music in Education,Codarts University for the Arts Rotterdam,"Music, Education",Undergraduate,Bachelor,"EUR 2,143",Netherlands,Rotterdam
Music Theatre,Codarts University for the Arts Rotterdam,Performing Arts,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Rotterdam
Musician 3.0,HKU University of the Arts Utrecht,Music,Undergraduate,BMus,"EUR 2,143",Netherlands,Utrecht
Nanobiology,Erasmus University Rotterdam,Biology,Undergraduate,BSc,"EUR 2,143",Netherlands,Rotterdam
New Business and Business Management (Double degree),Nyenrode Business University - Amsterdam,Business,Undergraduate,BBA and BA (Hons),"€18,865",Netherlands,Amsterdam
"Online Culture: Art, Media and Society",Tilburg University,"Media, Culture",Undergraduate,BA,"EUR 2,143",Netherlands,Tilburg
Organ,Royal Conservatoire The Hague,Music,Undergraduate,BMus,"EUR 2,143",Netherlands,The Hague (Den Haag)
Pharmaceutical Sciences,University of Utrecht,Science,Undergraduate,BSc,"EUR 2,143",Netherlands,Utrecht
Pharmacy,University of Groningen,Health,Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Philosophy,University of Groningen,Philosophy,Undergraduate,BA,"EUR 2,143",Netherlands,Groningen
Philosophy,VU University Amsterdam,Philosophy,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
Philosophy (Double Degree),Erasmus University Rotterdam,"Economics, Philosophy",Undergraduate,BA,"EUR 2,143",Netherlands,Rotterdam
Philosophy - Global and Comparative Perspectives,Leiden University,Philosophy,Undergraduate,BA,"EUR 2,143",Netherlands,Leiden
"Philosophy, Politics and Economics",University of Utrecht,"Philosophy, Economics",Undergraduate,BSc,"€ 2,060",Netherlands,Utrecht
"Philosophy, Politics and Economics (PPE)",VU University Amsterdam,"Philosophy, Economics",Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
"Philosophy, Politics and Society",Radboud University,"Philosophy, Politics",Undergraduate,BA,"EUR 2,143",Netherlands,Nijmegen
Photography,Gerrit Rietveld Academy,"Photography, Arts",Undergraduate,BA,"€2,580",Netherlands,Amsterdam
Photography,Royal Academy of the Arts The Hague,"Photography, Arts",Undergraduate,BA,"EUR 2,143",Netherlands,The Hague (Den Haag)
Photography,Willem de Kooning Academie,"Photography, Arts",Undergraduate,BA,"EUR 2,143",Netherlands,Rotterdam
Physics,University of Groningen,"Physics, Science",Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Physiotherapy,Amsterdam University of Applied Sciences,Health,Undergraduate,BSc,"€3,083",Netherlands,Amsterdam
Physiotherapy,Fontys University of Applied Sciences - Eindhoven,Health,Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
Physiotherapy,Hanze University of Applied Sciences,"Health, Sport",Undergraduate,BSc,"€3,083",Netherlands,Groningen
Physiotherapy,Saxion University of Applied Sciences - Enschede,Health,Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
Political Science,Leiden University - The Hague,Politics,Undergraduate,BSc,"EUR 2,143",Netherlands,The Hague (Den Haag)
Political Science,University of Amsterdam,Politics,Undergraduate,BA,"EUR 2,143",Netherlands,Amsterdam
Political Science - Global Politics,VU University Amsterdam,Politics,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
"Politics, Psychology, Law and Economics",University of Amsterdam,"Politics, Economics",Undergraduate,BSc,"€4,120",Netherlands,Amsterdam
Pop Music,Amsterdam University of the Arts,Music,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Amsterdam
Process and Food Technology,The Hague University of Applied Sciences,Science,Undergraduate,BSc,"EUR 2,143",Netherlands,The Hague (Den Haag)
Process and Food Technology (Fast track),The Hague University of Applied Sciences,Food,Undergraduate,BSc,"EUR 2,143",Netherlands,The Hague (Den Haag)
Product Design,Willem de Kooning Academie,Design,Undergraduate,BA,"EUR 2,143",Netherlands,Rotterdam
Psychology,Erasmus University Rotterdam,"Psychology, Social Sciences",Undergraduate,BSc,"EUR 2,143",Netherlands,Rotterdam
Psychology,Leiden University,Psychology,Undergraduate,BSc,"EUR 2,143",Netherlands,Leiden
Psychology,Radboud University,Psychology,Undergraduate,BSc,"EUR 2,143",Netherlands,Nijmegen
Psychology,Tilburg University,"Psychology, Science",Undergraduate,BSc,"EUR 2,143",Netherlands,Tilburg
Psychology,University of Groningen,"Psychology, Behavioural and Social Sciences",Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Psychology,University of Twente,"Psychology, Science",Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
Psychology & Technology,Eindhoven University of Technology,"Psychology, IT",Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
Public Governance,Tilburg University,Politics,Undergraduate,BSc,"EUR 2,143",Netherlands,Tilburg
Real Estate Management,Wittenborg University of Applied Sciences,Business,Undergraduate,BBA,"EUR 7,500",Netherlands,Apeldoorn
Religious Studies,University of Groningen,Theology and Religious Studies,Undergraduate,BA,"EUR 2,143",Netherlands,Groningen
Rotterdam Arts and Sciences Lab (RASL),Codarts University for the Arts Rotterdam,"Arts, Science",Undergraduate,Bachelor,"EUR 2,143",Netherlands,Rotterdam
Rotterdam Arts and Sciences Lab (RASL),Erasmus University Rotterdam,"Arts, Social Sciences",Undergraduate,Bachelor,"EUR 2,143",Netherlands,Rotterdam
Rotterdam Arts and Sciences Lab (RASL) Double Degree,Willem de Kooning Academie,"Arts, Science",Undergraduate,Bachelor,"EUR 2,143",Netherlands,Rotterdam
Safety and Security Management Studies,The Hague University of Applied Sciences,Social Sciences,Undergraduate,BBA,"EUR 2,143",Netherlands,The Hague (Den Haag)
Security Studies,Leiden University,International Relations,Undergraduate,BA,"EUR 2,143",Netherlands,Leiden
Sign Language Linguistics (Linguistics),University of Amsterdam,Linguistics,Undergraduate,BA,"EUR 2,143",Netherlands,Amsterdam
Software Engineering and Business Informatics,Fontys University of Applied Sciences - Venlo,"Engineering, Computer Science",Undergraduate,BSc,"EUR 2,143",Netherlands,Venlo
"Soil, Water and Atmosphere",Wageningen University,Environment,Undergraduate,Bachelor,"EUR 2,143",Netherlands,Wageningen
"Soil, Water, Atmosphere",Wageningen University,Science,Undergraduate,BSc,"EUR 2,143",Netherlands,Wageningen
Sonology,Royal Conservatoire The Hague,Music,Undergraduate,BMus,"EUR 2,143",Netherlands,The Hague (Den Haag)
South and Southeast Asian Studies,Leiden University,"Humanities, Regional Development",Undergraduate,BA,"EUR 2,143",Netherlands,Leiden
Spatial Design,Willem de Kooning Academie,"Design, Planning",Undergraduate,BA,"EUR 2,143",Netherlands,Rotterdam
Spatial Planning and Design,University of Groningen,Planning,Undergraduate,BSc,"EUR 2,143",Netherlands,Groningen
Sport Business Management,Wittenborg University of Applied Sciences,"Sport, Management",Undergraduate,BBA,"EUR 9,800",Netherlands,Apeldoorn
"Sport Studies - International Sports, Management and Business Track",Amsterdam University of Applied Sciences,"Sport, Business",Undergraduate,BA,"EUR 2,143",Netherlands,Amsterdam
Sports Management,Amsterdam Business School (UIBS),Sport,Undergraduate,Bachelor,"€12,000",Netherlands,Amsterdam
Sports Studies,Hanze University of Applied Sciences,"Sport, Health",Undergraduate,BA,"EUR 2,143",Netherlands,Groningen
Sports Studies - International Sport Management,The Hague University of Applied Sciences,"Sport, Management",Undergraduate,Bachelor of Arts,"EUR 2,143",Netherlands,The Hague (Den Haag)
Sustainable Innovation,Eindhoven University of Technology,"Environment, Engineering",Undergraduate,BSc,"EUR 2,143",Netherlands,Eindhoven
Teacher Education in English,HU University of Applied Sciences Utrecht,Teaching,Undergraduate,BEd,"EUR 2,143",Netherlands,Utrecht
Teacher Education in French,HU University of Applied Sciences Utrecht,Teaching,Undergraduate,BEd,"EUR 2,143",Netherlands,Utrecht
Teacher Education in German,HU University of Applied Sciences Utrecht,Teaching,Undergraduate,BEd,"EUR 2,143",Netherlands,Utrecht
Teacher Education in Spanish,HU University of Applied Sciences Utrecht,"Teaching, Languages",Undergraduate,BEd,"EUR 2,143",Netherlands,Utrecht
Technical Computer Science,University of Twente,"Computer Science, Business",Undergraduate,BSc,"EUR 2,143",Netherlands,Enschede
Technology and Liberal Arts & Sciences (ATLAS),University College Twente,"Liberal Arts, Technology",Undergraduate,BSc,"€4,166",Netherlands,Enschede
Technology Management,Amsterdam Business School (UIBS),"Technology, Management",Undergraduate,Bachelor,"€12,000",Netherlands,Amsterdam
Textile,Gerrit Rietveld Academy,"Fashion, Design",Undergraduate,BA,"€2,580",Netherlands,Amsterdam
Textile and Fashion,Royal Academy of the Arts The Hague,"Fashion, Design",Undergraduate,BA,"EUR 2,143",Netherlands,The Hague (Den Haag)
The Large Glass,Gerrit Rietveld Academy,Design,Undergraduate,BA,"€2,580",Netherlands,Amsterdam
Theology,Gerrit Rietveld Academy,Design,Undergraduate,BA,"€2,580",Netherlands,Amsterdam
Theory of Music,Royal Conservatoire The Hague,Music,Undergraduate,BMus,"EUR 2,143",Netherlands,The Hague (Den Haag)
Tourism,Breda University of Applied Sciences,"Tourism, Management",Undergraduate,BSc,"EUR 2,143",Netherlands,Breda
Tourism,Wageningen University,Tourism,Undergraduate,BSc,"EUR 2,143",Netherlands,Wageningen
Tourism Management,Amsterdam Business School (UIBS),Tourism,Undergraduate,Bachelor,"€12,000",Netherlands,Amsterdam
Tourism Management,HZ University of Applied Science,"Hospitality, Management",Undergraduate,BBA,"EUR 2,143",Netherlands,Vlissingen
Tourism Management,Inholland University of Applied Sciences - Amsterdam,Hospitality,Undergraduate,BBA,"EUR 2,143",Netherlands,Amsterdam
Tourism Management,NHL Stenden University of Applied Sciences - Leeuwarden,"Hospitality, Tourism",Undergraduate,Bachelor of Business Administration (BBA),"EUR 2,143",Netherlands,Leeuwarden
Tourism Management,Saxion University of Applied Sciences - Deventer,"Hospitality, Tourism",Undergraduate,BBA,"EUR 2,143",Netherlands,Deventer
Tourism Management (4 years),Breda University of Applied Sciences,"Tourism, Environment",Undergraduate,BA,"EUR 2,143",Netherlands,Breda
Tourism Management (Fast Track),HZ University of Applied Science,"Tourism, Management",Undergraduate,BBA,"EUR 2,143",Netherlands,Vlissingen
Tourism Management (Fast track),NHL Stenden University of Applied Sciences - Leeuwarden,"Tourism, Management",Undergraduate,Bachelor of Business Administration (BBA),"EUR 2,143",Netherlands,Leeuwarden
"Tourism Management (Fast track, 3 years)",Breda University of Applied Sciences,"Tourism, Management",Undergraduate,BA,"EUR 2,143",Netherlands,Breda
Tourism Mananagement,Wittenborg University of Applied Sciences,Tourism,Undergraduate,BBA,"EUR 7,500",Netherlands,Apeldoorn
